scenario_key,scenario_label,year,end_height,burn_active,capacity_pct,reward_per_block_atho,annual_issuance_atho,annual_fees_total_atho,annual_burn_atho,annual_miner_fees_atho,annual_miner_revenue_atho,cumulative_emitted_atho,cumulative_burned_atho,circulating_supply_atho,annual_net_change_atho,annual_net_rate_pct,tx_per_block_est,tps_est
no_burn_100,No Burn (100% block capacity),102,26805599,1,100.0000,0.25000000,65700.00000000,147825.00000000,0E-8,147825.00000000,213525.00000000,31465900.00000000,0E-8,31465900.00000000,65700.00000000,0.20923434,4416,36.80000000
no_burn_100,No Burn (100% block capacity),103,27068399,1,100.0000,0.25000000,65700.00000000,147825.00000000,0E-8,147825.00000000,213525.00000000,31531600.00000000,0E-8,31531600.00000000,65700.00000000,0.20879746,4416,36.80000000
no_burn_100,No Burn (100% block capacity),104,27331199,1,100.0000,0.25000000,65700.00000000,147825.00000000,0E-8,147825.00000000,213525.00000000,31597300.00000000,0E-8,31597300.00000000,65700.00000000,0.20836240,4416,36.80000000
no_burn_100,No Burn (100% block capacity),105,27593999,1,100.0000,0.25000000,65700.00000000,147825.00000000,0E-8,147825.00000000,213525.00000000,31663000.00000000,0E-8,31663000.00000000,65700.00000000,0.20792916,4416,36.80000000
no_burn_100,No Burn (100% block capacity),106,27856799,1,100.0000,0.25000000,65700.00000000,147825.00000000,0E-8,147825.00000000,213525.00000000,31728700.00000000,0E-8,31728700.00000000,65700.00000000,0.20749771,4416,36.80000000
no_burn_100,No Burn (100% block capacity),107,28119599,1,100.0000,0.25000000,65700.00000000,147825.00000000,0E-8,147825.00000000,213525.00000000,31794400.00000000,0E-8,31794400.00000000,65700.00000000,0.20706805,4416,36.80000000
no_burn_100,No Burn (100% block capacity),108,28382399,1,100.0000,0.25000000,65700.00000000,147825.00000000,0E-8,147825.00000000,213525.00000000,31860100.00000000,0E-8,31860100.00000000,65700.00000000,0.20664016,4416,36.80000000
no_burn_100,No Burn (100% block capacity),109,28645199,1,100.0000,0.25000000,65700.00000000,147825.00000000,0E-8,147825.00000000,213525.00000000,31925800.00000000,0E-8,31925800.00000000,65700.00000000,0.20621404,4416,36.80000000
no_burn_100,No Burn (100% block capacity),110,28907999,1,100.0000,0.25000000,65700.00000000,147825.00000000,0E-8,147825.00000000,213525.00000000,31991500.00000000,0E-8,31991500.00000000,65700.00000000,0.20578967,4416,36.80000000
no_burn_100,No Burn (100% block capacity),111,29170799,1,100.0000,0.25000000,65700.00000000,147825.00000000,0E-8,147825.00000000,213525.00000000,32057200.00000000,0E-8,32057200.00000000,65700.00000000,0.20536705,4416,36.80000000
no_burn_100,No Burn (100% block capacity),112,29433599,1,100.0000,0.25000000,65700.00000000,147825.00000000,0E-8,147825.00000000,213525.00000000,32122900.00000000,0E-8,32122900.00000000,65700.00000000,0.20494616,4416,36.80000000
no_burn_100,No Burn (100% block capacity),113,29696399,1,100.0000,0.25000000,65700.00000000,147825.00000000,0E-8,147825.00000000,213525.00000000,32188600.00000000,0E-8,32188600.00000000,65700.00000000,0.20452699,4416,36.80000000
no_burn_100,No Burn (100% block capacity),114,29959199,1,100.0000,0.25000000,65700.00000000,147825.00000000,0E-8,147825.00000000,213525.00000000,32254300.00000000,0E-8,32254300.00000000,65700.00000000,0.20410953,4416,36.80000000
